dt,AverageTemperature,AverageTemperatureUncertainty,Country
1769-12-01,-2986,4.5710000000000015,Austria
1770-01-01,-5115,7.747999999999998,Austria
1770-02-01,-2543,3851,Austria
1770-03-01,-1.31,4393,Austria
1770-04-01,4767,12.93,Austria
1770-05-01,10814,1992,Austria
1770-06-01,13934,4472,Austria
1770-07-01,15003,8.93,Austria
1770-08-01,14993,5053,Austria
1770-09-01,12806,3135,Austria
1770-10-01,6.6850000000000005,5.4110000000000005,Austria
1770-11-01,1.7719999999999998,7379,Austria
1770-12-01,-1.3879999999999997,10513,Austria
1771-01-01,-3.5210000000000004,8401,Austria
1771-02-01,-5.127999999999999,4647,Austria
1771-03-01,-1.3589999999999995,8666,Austria
1771-04-01,2.6710000000000003,7.837999999999999,Austria
1771-05-01,13295,11833,Austria
1771-06-01,13865,3087,Austria
1771-07-01,15.68,1846,Austria
1771-08-01,14788,2592,Austria
1771-09-01,12182,2079,Austria
1771-10-01,6.593999999999999,2008,Austria
1771-11-01,-1.6230000000000002,5038,Austria
1771-12-01,-2001,3899,Austria
1772-01-01,-2508,9144,Austria
1772-02-01,0.19200000000000014,10982,Austria
1772-03-01,3.0010000000000003,4.6,Austria
1772-04-01,6.2109999999999985,4728,Austria
1772-05-01,9541,1785,Austria
1772-06-01,16116,5209,Austria
1772-07-01,16.999000000000002,3276,Austria
1772-08-01,15.710999999999999,4902,Austria
1772-09-01,13045,3648,Austria
1772-10-01,7.593999999999999,2.6260000000000003,Austria
1772-11-01,3687,6164,Austria
1772-12-01,-1626,3489,Austria
1773-01-01,-2535,2.8560000000000003,Austria
1773-02-01,-3533,3429,Austria
1773-03-01,0.28200000000000003,2131,Austria
1773-04-01,5715,3858,Austria
1773-05-01,12428,3883,Austria
1773-06-01,13614,1862,Austria
1773-07-01,14571,2.21,Austria
1773-08-01,14481,2246,Austria
1773-09-01,12805,2.32,Austria
1773-10-01,8057,2168,Austria
1773-11-01,1231,7303,Austria
1773-12-01,0.05300000000000038,6284,Austria
1774-01-01,-4191,9164,Austria
1774-02-01,-1811,8196,Austria
1774-03-01,2715,2892,Austria
1774-04-01,8.232999999999999,5874,Austria
1774-05-01,11637,2297,Austria
1774-06-01,15307,7.202000000000001,Austria
1774-07-01,16.221999999999998,7584,Austria
1774-08-01,16436,3002,Austria
1774-09-01,11214,3318,Austria
1774-10-01,5.8100000000000005,5095,Austria
1774-11-01,-2728,7.9,Austria
1774-12-01,-5532,5964,Austria
1775-01-01,-4479,5456,Austria
1775-02-01,0.6180000000000003,5.4,Austria
1775-03-01,2.7300000000000004,2483,Austria
1775-04-01,4.5139999999999985,1489,Austria
1775-05-01,9409,3862,Austria
1775-06-01,16128,5716,Austria
1775-07-01,16594,1812,Austria
1775-08-01,17128,1258,Austria
1775-09-01,13.210999999999999,3.65,Austria
1775-10-01,7.5230000000000015,3448,Austria
1775-11-01,1659,7.7,Austria
1775-12-01,-3855,1901,Austria
1776-01-01,-8165,6.922999999999999,Austria
1776-02-01,-794,4388,Austria
1776-03-01,2.8169999999999997,3701,Austria
1776-04-01,5984,1263,Austria
1776-05-01,9374,4.44,Austria
1776-06-01,14402,3879,Austria
1776-07-01,15991,2741,Austria
1776-08-01,15.914000000000001,4.9289999999999985,Austria
1776-09-01,11023,3262,Austria
1776-10-01,5.3839999999999995,3.46,Austria
1776-11-01,202,6.74,Austria
1776-12-01,-4.5459999999999985,3936,Austria
1777-01-01,-6065,3.81,Austria
1777-02-01,-2.96,4811,Austria
1777-03-01,3.0330000000000004,2.35,Austria
1777-04-01,4.510999999999999,1845,Austria
1777-05-01,11118,4.15,Austria
1777-06-01,14232,3036,Austria
1777-07-01,14.73,1863,Austria
1777-08-01,16302,1835,Austria
1777-09-01,11352,5.42,Austria
1777-10-01,6.4079999999999995,5.3020000000000005,Austria
1777-11-01,2.0780000000000003,2536,Austria
1777-12-01,-4208,2947,Austria
1778-01-01,-2.4610000000000003,4096,Austria
1778-02-01,-3.05,4583,Austria
1778-03-01,2.0460000000000003,4.76,Austria
1778-04-01,8.54,1589,Austria
1778-05-01,12618,3575,Austria
1778-06-01,14133,6641,Austria
1778-07-01,18181,1453,Austria
1778-08-01,16.54,3801,Austria
1778-09-01,10507,1339,Austria
1778-10-01,5.4940000000000015,7.1720000000000015,Austria
1778-11-01,2022,5182,Austria
1778-12-01,0.27100000000000035,3913,Austria
1779-01-01,-7.1690000000000005,4.01,Austria
1779-02-01,0.07500000000000018,9684,Austria
1779-03-01,3045,4298,Austria
1779-04-01,9.312000000000001,4543,Austria
1779-05-01,13.607999999999999,2.45,Austria
1779-06-01,12.923000000000002,4052,Austria
1779-07-01,15146,2744,Austria
1779-08-01,15762,4.25,Austria
1779-09-01,13328,3134,Austria
1779-10-01,8366,3957,Austria
1779-11-01,1.91,2799,Austria
1779-12-01,0.40100000000000025,10473,Austria
1780-01-01,-6.627000000000002,5881,Austria
1780-02-01,-4.8889999999999985,3765,Austria
1780-03-01,4302,1.4380000000000002,Austria
1780-04-01,5276,2966,Austria
1780-05-01,12435,3049,Austria
1780-06-01,14.77,6.15,Austria
1780-07-01,16009,2263,Austria
1780-08-01,15909,5681,Austria
1780-09-01,11204,4931,Austria
1780-10-01,7945,2.54,Austria
1780-11-01,1052,2491,Austria
1780-12-01,-4709,2315,Austria
1781-01-01,-4.6080000000000005,8378,Austria
1781-02-01,-2027,11985,Austria
1781-03-01,2347,1699,Austria
1781-04-01,7.99,3009,Austria
1781-05-01,12.484000000000002,3402,Austria
1781-06-01,15774,1681,Austria
1781-07-01,16746,3739,Austria
1781-08-01,17837,1255,Austria
1781-09-01,13.854000000000001,6858,Austria
1781-10-01,4.806000000000001,1117,Austria
1781-11-01,2.02,2823,Austria
1781-12-01,-2479,7.4289999999999985,Austria
1782-01-01,-2.757000000000001,4975,Austria
1782-02-01,-6.2170000000000005,9823,Austria
1782-03-01,0.6740000000000002,2548,Austria
1782-04-01,5103,4857,Austria
1782-05-01,10713,3965,Austria
1782-06-01,16021,3469,Austria
1782-07-01,18286,6062,Austria
1782-08-01,16.06,3821,Austria
1782-09-01,11553,3679,Austria
1782-10-01,4615,5002,Austria
1782-11-01,-1.8860000000000003,9417,Austria
1782-12-01,-3.2059999999999995,7152,Austria
1783-01-01,-1.6550000000000002,9546,Austria
1783-02-01,0.41800000000000015,5237,Austria
1783-03-01,0.5440000000000003,3388,Austria
1783-04-01,6353,1787,Austria
1783-05-01,12.479000000000001,5816,Austria
1783-06-01,15172,2235,Austria
1783-07-01,17.186999999999998,2472,Austria
1783-08-01,16195,2378,Austria
1783-09-01,13093,4.69,Austria
1783-10-01,7.502000000000002,4666,Austria
1783-11-01,0.6340000000000001,3341,Austria
1783-12-01,-5794,3871,Austria
1784-01-01,-8.71,11294,Austria
1784-02-01,-5933,9097,Austria
1784-03-01,-0.13199999999999967,4799,Austria
1784-04-01,3323,9.29,Austria
1784-05-01,13.42,2451,Austria
1784-06-01,14977,2421,Austria
1784-07-01,16436,5.5360000000000005,Austria
1784-08-01,15.664000000000001,8.24,Austria
1784-09-01,13784,5.882999999999999,Austria
1784-10-01,3.2950000000000004,5067,Austria
1784-11-01,1.1629999999999998,2732,Austria
1784-12-01,-4.2349999999999985,3425,Austria
1785-01-01,-5072,4887,Austria
1785-02-01,-5101,6724,Austria
1785-03-01,-5.627999999999999,5.1160000000000005,Austria
1785-04-01,2.4889999999999994,3.4410000000000003,Austria
1785-05-01,10622,5434,Austria
1785-06-01,13364,4857,Austria
1785-07-01,14983,4678,Austria
1785-08-01,14468,4383,Austria
1785-09-01,13978,2206,Austria
1785-10-01,5.827000000000001,3508,Austria
1785-11-01,1.5130000000000001,5.05,Austria
1785-12-01,-2915,2064,Austria
1786-01-01,-4.46,2.89,Austria
1786-02-01,-3212,2.8310000000000004,Austria
1786-03-01,0.2790000000000001,7097,Austria
1786-04-01,7.382999999999999,4501,Austria
1786-05-01,10088,4.6389999999999985,Austria
1786-06-01,14849,1734,Austria
1786-07-01,14.111999999999998,5144,Austria
1786-08-01,13455,8.36,Austria
1786-09-01,10.482999999999999,9.64,Austria
1786-10-01,3635,1.71,Austria
1786-11-01,-1188,6341,Austria
1786-12-01,-3299,3415,Austria
1787-01-01,-5.702000000000001,4944,Austria
1787-02-01,-1356,5.3260000000000005,Austria
1787-03-01,2108,3892,Austria
1787-04-01,4.619999999999999,3093,Austria
1787-05-01,8905,5865,Austria
1787-06-01,15.449000000000002,5142,Austria
1787-07-01,15595,7731,Austria
1787-08-01,16201,5765,Austria
1787-09-01,11.4,3279,Austria
1787-10-01,8045,8.482999999999999,Austria
1787-11-01,1.6869999999999998,1455,Austria
1787-12-01,-0.4299999999999997,4938,Austria
1788-01-01,-2.8420000000000005,2361,Austria
1788-02-01,-1971,7.55,Austria
1788-03-01,2178,4.09,Austria
1788-04-01,6153,4244,Austria
1788-05-01,11.74,2367,Austria
1788-06-01,16122,2873,Austria
1788-07-01,18834,5.3260000000000005,Austria
1788-08-01,14169,2.57,Austria
1788-09-01,13238,1484,Austria
1788-10-01,5.8180000000000005,3205,Austria
1788-11-01,-1123,3274,Austria
1788-12-01,-9677,5.4929999999999986,Austria
1789-01-01,-6697,7006,Austria
1789-02-01,-1204,4675,Austria
1789-03-01,-2287,5038,Austria
1789-04-01,7365,2944,Austria
1789-05-01,14.107999999999999,4299,Austria
1789-06-01,13.390999999999998,2002,Austria
1789-07-01,16.304000000000002,3459,Austria
1789-08-01,15037,2023,Austria
1789-09-01,12009,1543,Austria
1789-10-01,6974,3802,Austria
1789-11-01,1.15,1288,Austria
1789-12-01,-3035,2.4290000000000003,Austria
1790-01-01,-3.69,5.13,Austria
1790-02-01,-0.4109999999999998,5484,Austria
1790-03-01,1.5,2.8160000000000003,Austria
1790-04-01,4271,4045,Austria
1790-05-01,12.7,1969,Austria
1790-06-01,15863,1827,Austria
1790-07-01,14817,2153,Austria
1790-08-01,15.984000000000002,1985,Austria
1790-09-01,11113,3003,Austria
1790-10-01,6676,3139,Austria
1790-11-01,927,1.6030000000000002,Austria
1790-12-01,-1.9240000000000002,10066,Austria
1791-01-01,-0.8770000000000002,8133,Austria
1791-02-01,-1882,2928,Austria
1791-03-01,2389,4081,Austria
1791-04-01,8.25,2865,Austria
1791-05-01,10.89,2135,Austria
1791-06-01,14.005999999999998,2446,Austria
1791-07-01,16.131999999999998,2087,Austria
1791-08-01,17312,1023,Austria
1791-09-01,11.274000000000001,2794,Austria
1791-10-01,6.5120000000000005,1508,Austria
1791-11-01,-0.04600000000000004,2963,Austria
1791-12-01,-1824,2077,Austria
1792-01-01,-4291,6311,Austria
1792-02-01,-3922,4175,Austria
